Geneid	HMECPIT1_1
23432	1285
261726	3376
375035	92
84832	210
9095	10
693142	0
100505918	0
101928565	0
6846	0
6375	0
1805	0
79100	0
101978719	0
101928596	57
481	617
29922	717
8548	1083
57821	7
10560	872
2153	1
6403	0
6402	0
6401	0
92342	145
55732	508
57147	188
22920	1327
149281	0
100423010	0
100422839	0
284688	0
101928650	8
92344	492
5396	2298
80133	0
2328	0
100302178	0
100847009	0
388714	0
2327	0
2326	0
2329	32
7151	0
23215	2012
4653	0
8674	914
51603	217
26052	27
100874284	0
100628315	0
406996	0
100422882	0
406977	0
102724541	2
92346	0
5279	186
51430	1405
356	0
8995	238
7292	13
100506023	48
101928673	19
9588	6797
284525	0
730159	0
339416	6
27252	178
91687	343
55157	864
100506046	28
60674	2424
26769	0
26802	0
26774	17
26770	6
692198	12
26806	11
692197	3
692196	8
692195	0
619498	47
84614	93
462	0
149041	744
102724601	0
9910	580
9293	3
101928696	0
27101	1394
63931	427
63923	0
9674	0
7143	0
101928727	0
101928751	2
64326	872
677679	2
60676	7
460	1
574441	0
57795	0
102724661	0
101928778	0
89866	19
730102	76
100302401	13
9462	1343
400797	1
84066	0
105373472	2
400798	25
100616328	0
55103	3076
9068	28
9917	2103
64222	274
27	2587
6646	761
126859	2
7827	0
163589	0
148753	0
163590	3711
26092	1069
9857	2084
5768	12225
200058	123
89884	2
100527964	9
84320	390
100423032	0
148756	0
9213	624
57710	5
10228	613
3140	229
51278	683
101928973	0
100287948	0
777	0
127665	0
400799	0
2752	2523
127670	0
388719	0
353299	0
6041	92
6004	2
284648	0
85397	0
80896	68
1660	1492
81626	0
3915	12631
3918	21513
23057	446
284649	23
9887	1094
4688	25
10092	4875
23179	287
403314	0
23127	22
116461	842
102724846	0
81563	759
80267	1829
116496	1792
101929069	0
6045	853
81627	784
54823	110
10625	7997
100288079	3
101929093	0
83872	27
10216	2
7175	1697
54953	506
10896	3
102724919	2
5132	2
5743	7138
103752588	10
5321	570
104169671	0
101929766	0
339479	0
101929120	0
440704	0
64407	5
431704	0
5996	0
6003	0
100616345	12
5997	150
102724954	0
51377	542
6738	2282
51022	298
79577	1204
100302163	1
8707	10
101929184	0
343450	6
100616363	0
3075	29
10878	0
3078	1
10877	0
3080	0
81494	0
2165	0
259266	4048
360023	1853
23418	1
163486	553
388722	79
56956	0
140609	2746
127124	0
5788	0
100131234	19
406955	8
406995	1
102800316	0
104266961	0
400800	0
2494	178
554279	2
23528	1061
9928	984
83479	240
101929224	2
23271	1084
2848	0
55765	6
23046	15
779	0
647219	0
252839	635
91156	0
5317	0
7139	0
3898	0
7135	1
23612	232
1465	6744
376693	4
89796	1511
100873949	0
100847050	0
100302158	0
55705	735
102466724	0
149345	168
25802	12
10440	494
6051	478
102465443	1
1999	0
9283	0
127829	150
5778	0
148713	0
59352	38
29089	459
4660	134
127833	0
10765	2160
100506696	41
641515	0
148709	7
5877	82
59349	419
51094	2617
51706	615
100506747	1
92703	1584
8497	28
4656	0
134	0
4608	0
