Geneid	HMECPIT1_3
101929565	0
467	43
149647	0
55509	25
25936	356
128387	244
149643	5
642946	23
28982	433
79805	3
90806	596
26750	855
100505832	0
100861504	0
5629	5
105372911	0
56950	709
5784	5547
1063	1724
3776	98
101929612	3
51133	1215
7399	8
102723833	0
2104	1
55105	234
128153	20
103752555	0
100885798	0
101929631	0
51018	423
728463	5
7042	1561
103611157	0
643723	178
127018	551
102723886	4
55532	0
2058	3453
10380	471
55699	1932
406997	0
406969	0
25782	2021
100302234	0
677818	0
6791	18
4139	116
79762	4
54996	49
64757	6
101929730	0
100873924	0
105373280	2
3142	165
400804	0
11221	579
101929771	3
100189378	0
79802	4
9015	197
100506161	6
375056	1206
64853	1608
148362	1396
400823	0
84976	90
7100	1
55061	8
164127	0
388743	0
824	7674
7159	635
105369195	13
441124	2
23219	1746
8560	1436
101927143	0
101927164	0
4931	180
100313769	0
29097	1641
80232	2827
100616468	4
149111	111
127602	365
3930	937
55740	2073
6726	4964
2052	168
9725	316
10637	0
29920	925
102466270	0
7044	0
163859	674
3020	1186
64746	1282
83881	0
286826	206
142	1079
375057	0
3707	256
100506443	0
5664	125
56997	122
105379282	4
8476	1335
339500	152
100130093	16
65094	154
116841	693
105373289	1
339501	0
7483	0
100847072	0
101060022	0
89780	0
100506571	13
375	8489
100500810	0
79169	66
128308	688
2987	2530
57165	16
574432	3
200205	135
574407	2
84033	67
101927401	2
81559	303
102465444	0
51127	11
8290	0
92815	202
128312	151
100616308	0
149603	2095
100129094	0
100169751	0
100169753	0
100169754	0
100169755	0
100169756	0
100169757	0
100169758	0
100169759	0
100169760	0
100169761	0
